id,layer,dataset,provider,type,url,coverage,freq,typical_use,notes
WATER_005,water_hydrology,USGS modern Water Data APIs,USGS,API,https://api.waterdata.usgs.gov/docs/,US,Near-real-time,standardized access for water monitoring + GIS workflows,Free; some endpoints may require API keys.
EO_001,earth_observation,NASA GRACE/GRACE-FO mascon products (water storage anomalies),NASA JPL / NASA Earthdata,Portal/Download,https://grace.jpl.nasa.gov/data/get-data/jpl_global_mascons/,Global,Monthly,"groundwater/storage trends, basin stress early signals",Free; cite product version.
EO_002,earth_observation,NASA Earthdata catalog - GRACE mascon grids,NASA Earthdata,Catalog,https://www.earthdata.nasa.gov/data/catalog/pocloud-tellus-grac-grfo-mascon-grid-rl06.3-v4-rl06.3mv04,Global,Monthly,programmatic discovery + metadata for pipelines,Free with Earthdata login for some downloads.
EO_003,earth_observation,OpenStreetMap Planet + extracts (base geospatial context),OpenStreetMap,Download,https://planet.openstreetmap.org/,Global,Weekly planet snapshots,"asset geocoding, proximity to waterways/risks, infrastructure context",Free (ODbL).
EO_004,earth_observation,Geofabrik OSM extracts (country/regional),Geofabrik,Download,https://download.geofabrik.de/,Global (regional extracts),Daily,lighter OSM ingestion for pipelines,Free; check licensing.
META_001,standards_metadata,SDMX tools/resources (community standard),SDMX.org,Docs,https://sdmx.org/tools/,,,standardizing ingestion across IMF/OECD/ECB/BIS/Eurostat,Reference standard; not a dataset.
WATER_006,water_hydrology,"Water Footprint Network - resources, tools, standards & calculators",Water Footprint Network,Portal/Tools,https://www.waterfootprint.org/,Global,N/A,"water footprint methods, calculators, publications for corporate/product water risk assessment",Website + resources hub; data/tools availability varies by page.
WATER_007,water_hydrology,GEMStat - The Global Freshwater Quality Database (GEMS/Water Data Centre),UNEP GEMS/Water / ICWRGC (host),Portal/Data,https://gemstat.org/,Global (inland water quality),Ongoing updates,"water quality baselines/trends; location-level quality risk features (pollution, compliance risk)",Operational part of UNEP GEMS/Water; data portal available.
ENV_001,governance_institutions,UN Environment Programme (UNEP) - programmes & data portals entry point,UNEP,Portal,https://www.unep.org/fr,Global,Varies,"policy/regulatory context, environment programmes, links to datasets (incl. GEMS/Water)",French landing page; switch language for English resources.
ENV_002,earth_observation,UNEP-WCMC (World Conservation Monitoring Centre) - biodiversity & nature datasets/insights,UNEP-WCMC,Portal,https://www.unep-wcmc.org/en,Global,Varies,"nature/biodiversity risk overlays (protected areas, ecosystems) relevant for permitting and supply chain constraints",Acts as gateway to multiple biodiversity data products and partnerships.
ENV_003,governance_institutions,"FAO main portal (entry point to FAO data incl. AQUASTAT, FAOSTAT)",FAO,Portal,https://www.fao.org/home/en,Global,Varies,agri-food + water/land context for country/sector exposure models,Use AQUASTAT/FAOSTAT for structured indicators.
WATER_008,water_hydrology,WRI Aqueduct - Water Risk Atlas (portal),World Resources Institute (WRI),Portal,https://www.wri.org/aqueduct,Global,Baseline + projections,interactive screening and documentation for water stress/flood/drought indicators,Portal; downloadable datasets are linked from WRI Aqueduct data pages.
WATER_009,water_hydrology,WULCA AWARE (water scarcity footprint method) - overview,WULCA (Water Use in LCA),Method/Docs,https://wulca-waterlca.org/aware/what-is-aware/,Global method,Versioned,water scarcity impact factors for LCA; proxy for location-based water scarcity risk,Method reference; impact factors often distributed via publications/repos.
WATER_010,water_hydrology,Zenodo record 15133241 - AWARE 2.0 water scarcity impact assessment (dataset/files),Zenodo (CERN) / AWARE authors,Repository (DOI),https://zenodo.org/records/15133241,Global (method factors by country/region),Versioned release,downloadable AWARE 2.0 factors and supporting files for quantitative water scarcity scoring,Record may have newer versions; also accessible via DOI: https://doi.org/10.5281/zenodo.15133241
ESG_001,governance_institutions,"CDP (environmental disclosure platform: climate, water security, forests)",CDP,Portal,https://www.cdp.net/en,Global (reporting entities),Annual cycles,company-reported water security disclosures; ESG risk signals and peer benchmarking,Access to granular responses may require permissions/subscription; public scores exist.
WATER_011,water_hydrology,GEMS/Water overview resource page (CEO Water Mandate) - 2019,CEO Water Mandate (UN Global Compact),Portal/Resource,https://ceowatermandate.org/resources/global-environment-monitoring-system-for-freshwater-2019/,Global,Static resource page,context + references for GEMS/Water data usage in corporate water risk programs,Points to GEMS/Water programme and related tools.
WATER_012,water_hydrology,UNEP GEMS/Water programme page,UNEP,Portal,https://www.unep.org/topics/environment-under-review/gemswater,Global,Varies,"programme context, governance, access pathways for freshwater quality data",UNEP page describing GEMS/Water mandate and evolution.
WATER_013,water_hydrology,UNEP Water Quality PDF (biblioteca),UNEP (via third-party mirror),PDF,http://www.bio-nica.info/biblioteca/UNEPxxxWaterQuality.pdf,Unknown (document),Static,background methodology/definitions for water quality risk discussions,Third-party host; prefer original UNEP source when possible.
WATER_014,water_hydrology,UNEP GEMS/Water topic page (alternate URL),UNEP,Portal,https://www.unep.org/topics/environment-under-review/gemswater,Global,Varies,same as WATER_012 (kept for explicit URL list),Duplicate entry to preserve exact user-provided URL; safe to de-duplicate later.
